Outcome,Horizon,Public-investment coefficient beta_h,Observations,Countries,Years,Design matrix rank
Output,0,+0.047 (0.011; p=<0.001),557,27,2004-2024,6/6
Output,1,+0.038 (0.013; p=0.003),531,27,2004-2023,6/6
Output,2,+0.006 (0.010; p=0.559),506,27,2004-2022,6/6
Output,3,-0.011 (0.012; p=0.363),481,27,2004-2021,6/6
Output,4,-0.009 (0.014; p=0.517),456,27,2004-2020,6/6
Output,5,-0.001 (0.004; p=0.846),431,27,2004-2019,6/6
Output,6,+0.003 (0.004; p=0.487),405,27,2004-2018,6/6
Output,7,+0.004 (0.007; p=0.534),378,27,2004-2017,6/6
Output,8,+0.010 (0.006; p=0.106),351,27,2004-2016,6/6
Public investment spending,0,+0.041 (0.001; p=<0.001),557,27,2004-2024,6/6
Public investment spending,1,+0.000 (0.004; p=0.967),531,27,2004-2023,6/6
Public investment spending,2,-0.007 (0.002; p=<0.001),506,27,2004-2022,6/6
Public investment spending,3,-0.005 (0.003; p=0.043),481,27,2004-2021,6/6
Public investment spending,4,-0.002 (0.003; p=0.502),456,27,2004-2020,6/6
Public investment spending,5,-0.000 (0.001; p=0.893),431,27,2004-2019,6/6
Public investment spending,6,-0.000 (0.001; p=0.854),405,27,2004-2018,6/6
Public investment spending,7,+0.001 (0.002; p=0.581),378,27,2004-2017,6/6
Public investment spending,8,+0.003 (0.002; p=0.040),351,27,2004-2016,6/6
