Empirical path,Action,Year,Baseline debt ratio,Scenario debt ratio,Debt margin,"Output effect, GDP level",Direct primary-balance effect,Cyclical primary-balance feedback,Baseline primary balance,Scenario primary balance,Scenario nominal GDP growth,Snowball term,Stock-flow adjustment,Institutional debt margin
EU27 panel benchmark,Expansion,2028,73.19,72.87,-0.33,-1.14,-1.00,0.55,-3.88,-4.33,6.62,-1.14,0.00,-0.33
EU27 panel benchmark,Expansion,2029,77.05,75.74,-1.31,-3.20,-2.00,1.53,-3.95,-4.42,7.37,-1.54,0.00,-1.31
EU27 panel benchmark,Expansion,2030,81.12,78.48,-2.65,-5.39,-2.83,2.59,-3.99,-4.23,7.41,-1.50,0.00,-2.65
EU27 panel benchmark,Expansion,2031,85.14,81.46,-3.69,-6.19,-2.53,2.97,-3.91,-3.47,6.12,-0.48,0.00,-3.69
EU27 panel benchmark,Expansion,2032,89.34,85.27,-4.07,-5.87,-2.18,2.82,-4.02,-3.39,5.10,0.41,0.00,-4.07
EU27 panel benchmark,Expansion,2033,93.42,89.16,-4.26,-5.38,-2.01,2.58,-3.84,-3.27,5.01,0.63,0.00,-4.26
EU27 panel benchmark,Expansion,2034,97.62,92.94,-4.68,-5.22,-1.96,2.50,-3.86,-3.32,5.38,0.46,0.00,-4.68
EU27 panel benchmark,Expansion,2035,101.99,96.56,-5.43,-5.37,-1.98,2.58,-3.88,-3.28,5.67,0.34,0.00,-5.43
EU27 panel benchmark,Expansion,2036,106.79,100.26,-6.53,-5.76,-2.08,2.77,-3.89,-3.21,5.61,0.49,0.00,-6.53
EU27 panel benchmark,Cut,2028,73.19,73.54,0.35,1.14,1.00,-0.55,-3.88,-3.43,4.22,0.44,0.00,0.35
EU27 panel benchmark,Cut,2029,77.05,78.48,1.44,3.20,2.00,-1.53,-3.95,-3.48,3.04,1.46,0.00,1.44
EU27 panel benchmark,Cut,2030,81.12,84.14,3.02,5.39,2.83,-2.59,-3.99,-3.75,2.79,1.91,0.00,3.02
EU27 panel benchmark,Cut,2031,85.14,89.33,4.18,6.19,2.53,-2.97,-3.91,-4.35,4.43,0.84,0.00,4.18
EU27 panel benchmark,Cut,2032,89.34,93.85,4.51,5.87,2.18,-2.82,-4.02,-4.66,5.79,-0.13,0.00,4.51
EU27 panel benchmark,Cut,2033,93.42,98.03,4.61,5.38,2.01,-2.58,-3.84,-4.41,6.05,-0.23,0.00,4.61
EU27 panel benchmark,Cut,2034,97.62,102.62,5.00,5.22,1.96,-2.50,-3.86,-4.40,5.73,0.18,0.00,5.00
EU27 panel benchmark,Cut,2035,101.99,107.78,5.79,5.37,1.98,-2.58,-3.88,-4.47,5.35,0.69,0.00,5.79
EU27 panel benchmark,Cut,2036,106.79,113.78,6.99,5.76,2.08,-2.77,-3.89,-4.58,4.77,1.42,0.00,6.99
