State-variable subset,Design matrix rank,Condition number,Max state correlation,Support p-value,Maximum absolute Polish z-score,Output p-value h8,Leave-one-country,Bootstrap,Time blocks,Status,Gate reason
investment import content,8/8 (PASS),70.9 (PASS),0.000 (PASS),0.872 (PASS),0.161 (PASS),0.004 (PASS),27/27 (PASS),19/19 (PASS),3/3 (PASS),Retained,all_checks_pass
household balance-sheet fragility,8/8 (PASS),68.4 (PASS),0.000 (PASS),0.441 (PASS),0.769 (PASS),0.013 (PASS),27/27 (PASS),19/19 (PASS),3/3 (PASS),Retained,all_checks_pass
public debt,8/8 (PASS),70.7 (PASS),0.000 (PASS),0.713 (PASS),0.377 (PASS),0.120 (FAIL),27/27 (PASS),19/19 (PASS),3/3 (PASS),Not retained,failed_output_interaction_p
real PPP income,8/8 (PASS),68.8 (PASS),0.000 (PASS),0.946 (PASS),0.068 (PASS),0.463 (FAIL),27/27 (PASS),19/19 (PASS),3/3 (PASS),Not retained,failed_output_interaction_p
investment import content + public debt + real PPP income,12/12 (PASS),72.2 (PASS),0.250 (PASS),0.977 (PASS),0.377 (PASS),0.659 (FAIL),27/27 (PASS),19/19 (PASS),3/3 (PASS),Not retained,failed_output_interaction_p
investment import content + real PPP income,10/10 (PASS),71.1 (PASS),0.035 (PASS),0.986 (PASS),0.161 (PASS),0.676 (FAIL),27/27 (PASS),19/19 (PASS),3/3 (PASS),Not retained,failed_output_interaction_p
investment import content + household balance-sheet fragility + real PPP income,12/12 (PASS),71.2 (PASS),0.509 (PASS),0.839 (PASS),0.769 (PASS),0.690 (FAIL),27/27 (PASS),19/19 (PASS),3/3 (PASS),Not retained,failed_output_interaction_p
investment import content + household balance-sheet fragility,10/10 (PASS),71.0 (PASS),0.152 (PASS),0.713 (PASS),0.769 (PASS),0.696 (FAIL),27/27 (PASS),19/19 (PASS),3/3 (PASS),Not retained,failed_output_interaction_p
public debt + household balance-sheet fragility,10/10 (PASS),70.8 (PASS),0.453 (PASS),0.738 (PASS),0.769 (PASS),0.805 (FAIL),27/27 (PASS),19/19 (PASS),3/3 (PASS),Not retained,failed_output_interaction_p
investment import content + public debt,10/10 (PASS),72.1 (PASS),0.250 (PASS),0.903 (PASS),0.377 (PASS),0.895 (FAIL),27/27 (PASS),19/19 (PASS),3/3 (PASS),Not retained,failed_output_interaction_p
public debt + real PPP income,10/10 (PASS),70.8 (PASS),0.141 (PASS),0.933 (PASS),0.377 (PASS),0.899 (FAIL),27/27 (PASS),19/19 (PASS),3/3 (PASS),Not retained,failed_output_interaction_p
household balance-sheet fragility + real PPP income,10/10 (PASS),68.8 (PASS),0.509 (PASS),0.703 (PASS),0.769 (PASS),0.906 (FAIL),27/27 (PASS),19/19 (PASS),3/3 (PASS),Not retained,failed_output_interaction_p
investment import content + public debt + household balance-sheet fragility,12/12 (PASS),72.2 (PASS),0.453 (PASS),0.871 (PASS),0.769 (PASS),0.957 (FAIL),27/27 (PASS),19/19 (PASS),3/3 (PASS),Not retained,failed_output_interaction_p
public debt + household balance-sheet fragility + real PPP income,12/12 (PASS),70.9 (PASS),0.509 (PASS),0.871 (PASS),0.769 (PASS),0.967 (FAIL),27/27 (PASS),19/19 (PASS),3/3 (PASS),Not retained,failed_output_interaction_p
investment import content + public debt + household balance-sheet fragility + real PPP income,14/14 (PASS),72.3 (PASS),0.509 (PASS),0.930 (PASS),0.769 (PASS),0.976 (FAIL),27/27 (PASS),19/19 (PASS),3/3 (PASS),Not retained,failed_output_interaction_p
