spec_version,spec_id,features,scenario,scenario_sign,year,horizon_from_2028,Y_shortfall_pct,direct_discretionary_PB_level_pp,delta_cyclical_PB_pp,baseline_PB_pp,PB_new_pp,nominal_gdp_growth_new_pct,baseline_D_Y_pp,D_Y_new_pp,dsa_margin_vs_baseline_pp,direct_DY_LP_margin_initial_action_pp
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,household_net_financial_worth,liq,three_1pp_cut_2028_2030,cut,2024,-4,0.000000000,0.000000000,0.000000000,-4.269382954,-4.269382954,,55.089023590,55.089023590,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,household_net_financial_worth,liq,three_1pp_cut_2028_2030,cut,2025,-3,0.000000000,0.000000000,0.000000000,-4.325899124,-4.325899124,6.943162277,59.516128540,59.516128540,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,household_net_financial_worth,liq,three_1pp_cut_2028_2030,cut,2026,-2,0.000000000,0.000000000,0.000000000,-3.591127634,-3.591127634,6.625874451,64.901382446,64.901382446,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,household_net_financial_worth,liq,three_1pp_cut_2028_2030,cut,2027,-1,0.000000000,0.000000000,0.000000000,-3.824702740,-3.824702740,6.173631620,69.672157288,69.672157288,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,household_net_financial_worth,liq,three_1pp_cut_2028_2030,cut,2028,0,1.194279266,1.000000000,-0.573254048,-3.879892111,-3.453146159,4.163460961,73.194526672,73.605597013,0.411070341,1.403954914
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,household_net_financial_worth,liq,three_1pp_cut_2028_2030,cut,2029,1,3.560135659,2.054161722,-1.708865116,-3.947735786,-3.602439181,2.712202242,77.047668457,78.916265147,1.868596690,3.845517706
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,household_net_financial_worth,liq,three_1pp_cut_2028_2030,cut,2030,2,6.022269484,2.894803306,-2.890689352,-3.990267992,-3.986154038,2.488943946,81.122879028,85.059231767,3.936352738,6.116545144
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,household_net_financial_worth,liq,three_1pp_cut_2028_2030,cut,2031,3,6.757108685,2.597225456,-3.243412169,-3.907489061,-4.553675774,4.496784752,85.143638611,90.402951328,5.259312717,6.485028695
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,household_net_financial_worth,liq,three_1pp_cut_2028_2030,cut,2032,4,5.957881643,2.218659442,-2.859783189,-4.024710655,-4.665834401,6.324040383,89.337829590,94.478913115,5.141083525,4.437934079
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,household_net_financial_worth,liq,three_1pp_cut_2028_2030,cut,2033,5,5.109458569,2.056280658,-2.452540113,-3.841931581,-4.238191036,6.451122986,93.420257568,98.124423245,4.704165677,2.188123869
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,household_net_financial_worth,liq,three_1pp_cut_2028_2030,cut,2034,6,4.809499678,2.032224549,-2.308559845,-3.859153032,-4.135488329,5.877735514,97.617683411,102.304891056,4.687207645,1.672885450
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,household_net_financial_worth,liq,three_1pp_cut_2028_2030,cut,2035,7,5.016668713,2.056292057,-2.408000982,-3.876374483,-4.228083408,5.291974464,101.994483948,107.281707272,5.287223324,2.461165156
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,household_net_financial_worth,liq,three_1pp_cut_2028_2030,cut,2036,8,5.560901507,2.124036921,-2.669232724,-3.893596172,-4.438791975,4.611920330,106.794105530,113.297223818,6.503118289,4.309319506
