spec_id,features,feature_count
investment_import_content,trade,1
public_debt,debt,1
household_net_financial_worth,liq,1
real_ppp_income,log_gdp_pc,1
investment_import_content__public_debt,trade+debt,2
investment_import_content__household_net_financial_worth,trade+liq,2
investment_import_content__real_ppp_income,trade+log_gdp_pc,2
public_debt__household_net_financial_worth,debt+liq,2
public_debt__real_ppp_income,debt+log_gdp_pc,2
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,2
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,3
investment_import_content__public_debt__real_ppp_income,trade+debt+log_gdp_pc,3
investment_import_content__household_net_financial_worth__real_ppp_income,trade+liq+log_gdp_pc,3
public_debt__household_net_financial_worth__real_ppp_income,debt+liq+log_gdp_pc,3
investment_import_content__public_debt__household_net_financial_worth__real_ppp_income,trade+debt+liq+log_gdp_pc,4
